short,overall_at_home,overall_at_away,attack_at_home,attack_at_away,defence_at_home,defence_at_away
ARS,5.0,3.96,5.0,4.43,4.57,3.38
MCI,4.96,3.63,4.66,3.86,5.0,3.59
MUN,4.1,3.15,3.51,3.29,4.35,3.38
AVL,3.75,2.77,3.74,3.17,3.59,2.73
LIV,3.87,2.59,3.97,2.49,3.81,3.27
BOU,3.48,2.61,3.97,2.37,3.27,3.27
SUN,3.37,2.21,3.97,3.06,2.84,1.97
BHA,3.59,2.49,3.97,3.29,3.38,2.51
BRE,3.64,2.28,3.86,2.71,3.7,2.51
CHE,2.93,3.09,3.4,3.17,2.95,3.59
FUL,3.66,1.92,3.97,2.71,3.38,1.97
NEW,3.32,2.22,2.83,3.4,4.03,1.97
EVE,2.72,2.8,3.17,3.63,2.95,2.41
LEE,3.46,1.79,3.86,2.26,3.27,2.3
CRY,2.54,2.53,3.63,3.06,2.19,2.51
NFO,2.55,2.8,3.63,3.06,2.3,3.16
TOT,2.07,2.88,2.71,3.29,2.51,2.95
WHU,2.58,1.81,2.83,2.26,3.05,2.19
BUR,1.93,1.04,2.94,1.0,2.08,2.3
WOL,1.76,1.0,2.37,2.37,2.19,1.0
